"order_id","customer_id","order_date","total_amount_idr","shipping_city","shipping_province","shipping_cost_idr","payment_method","order_status","promo_code","discount_amount_idr","courier"
ORD000001,CUST0474,"2023-03-23",1951591,Banjarmasin,Kalimantan Selatan,32066,Transfer Bank,shipped,WEEKEND25,44409,JNE
ORD000008,CUST0637,"2023-06-02",954364,Manado,Sulawesi Utara,34020,Kartu Kredit,processing,WEEKEND25,31636,J&T
ORD000009,CUST0677,"2024-12-24",230288,Surabaya,Jawa Timur,13179,Transfer Bank,cancelled,HARBOLNAS22,18712,JNE
ORD000010,CUST0200,"2023-04-14",264669,Pontianak,Kalimantan Barat,30484,GoPay,delivered,HARI BELANJA,14331,Pos Indonesia
ORD000012,CUST0760,"2023-11-11",251162,Balikpapan,Kalimantan Timur,40940,OVO,shipped,HARI BELANJA,27838,J&T
ORD000014,CUST0225,"2024-04-15",334654,Medan,Sumatera Utara,36425,GoPay,delivered,HARI BELANJA,14346,SiCepat
ORD000015,CUST0794,"2023-01-14",2537438,Pekanbaru,Riau,29080,Transfer Bank,delivered,NEWUSER,36562,JNE
ORD000017,CUST0715,"2024-01-01",355448,Semarang,Jawa Tengah,12267,Transfer Bank,returned,RAMADAN23,12552,J&T
ORD000019,CUST0539,"2022-10-10",247331,Balikpapan,Kalimantan Timur,37574,OVO,delivered,FLASHSALE,20669,SiCepat
ORD000020,CUST0712,"2023-08-12",377322,Malang,Jawa Timur,16405,OVO,processing,RAMADAN23,19678,J&T
ORD000028,CUST0624,"2024-06-27",408558,Balikpapan,Kalimantan Timur,37360,Transfer Bank,cancelled,NEWUSER,39442,Anteraja
ORD000031,CUST0492,"2022-03-30",200075,Pekanbaru,Riau,26230,Transfer Bank,delivered,RAMADAN23,28925,JNE
ORD000032,CUST0317,"2025-01-03",624526,Medan,Sumatera Utara,38976,QRIS,returned,HARI BELANJA,43474,JNE
ORD000037,CUST0323,"2024-02-05",218221,Pontianak,Kalimantan Barat,36528,OVO,delivered,HARBOLNAS22,30779,JNE
ORD000040,CUST0141,"2025-01-12",570879,Malang,Jawa Timur,21984,Transfer Bank,delivered,HARBOLNAS22,28121,Anteraja
ORD000042,CUST0042,"2023-07-03",687278,Bogor,Jawa Barat,12204,OVO,delivered,SALE2024,48722,JNE
ORD000043,CUST0575,"2024-04-03",541268,Bandung,Jawa Barat,11516,OVO,delivered,NEWUSER,36732,Anteraja
